original_relpath,preview_relpath,orig_w,orig_h,orig_size_kb,prev_w,prev_h,prev_size_kb,saved_pct,status
paintings-2024\fragments-of-memory\part-1.jpg,paintings-2024\fragments-of-memory\preview\part-1.webp,3666,2004,1997.53,2000,1093,185.71,90.7,SKIPPED_UP_TO_DATE
paintings-2024\fragments-of-memory\part-2.jpg,paintings-2024\fragments-of-memory\preview\part-2.webp,1372,2094,839.16,786,1200,84.07,89.98,SKIPPED_UP_TO_DATE
paintings-2024\fragments-of-memory\part-4.jpg,paintings-2024\fragments-of-memory\preview\part-4.webp,2494,3360,3623.9,1485,2000,295.17,91.85,SKIPPED_UP_TO_DATE
paintings-2024\fragments-of-memory\part-3.jpg,paintings-2024\fragments-of-memory\preview\part-3.webp,2812,2212,741.42,1600,1259,215.81,70.89,SKIPPED_UP_TO_DATE
paintings-2024\fragments-of-memory\part-5.jpg,paintings-2024\fragments-of-memory\preview\part-5.webp,3000,2356,796.88,1600,1257,208.67,73.81,SKIPPED_UP_TO_DATE
paintings-2024\fragments-of-memory\part-6.jpg,paintings-2024\fragments-of-memory\preview\part-6.webp,1596,2540,577.06,1005,1600,208.95,63.79,SKIPPED_UP_TO_DATE
paintings-2024\fragments-of-memory\part-7.jpg,paintings-2024\fragments-of-memory\preview\part-7.webp,2956,2264,1036.08,1600,1225,332.84,67.87,SKIPPED_UP_TO_DATE
paintings-2024\fragments-of-memory\part-8.jpg,paintings-2024\fragments-of-memory\preview\part-8.webp,1388,2300,960.83,724,1200,129.54,86.52,SKIPPED_UP_TO_DATE
paintings-2024\covers\non-dualism.jpg,paintings-2024\covers\preview\non-dualism.webp,7008,4672,12169.71,2000,1333,270.14,97.78,SKIPPED_UP_TO_DATE
paintings-2024\verdant-heaven\main-1.jpg,paintings-2024\verdant-heaven\preview\main-1.webp,3885,5570,4904.61,1395,2000,517.68,89.45,SKIPPED_UP_TO_DATE
photograph-videos-2026\covers\a-wedding-within-shan-shui.png,photograph-videos-2026\covers\preview\a-wedding-within-shan-shui.webp,1626,743,1527,1200,548,51.44,96.63,SKIPPED_UP_TO_DATE
